AFGANISTÁN,Afghani,AFN
ALBANIA,Lek,ALL
ALEMANIA,Euro,EUR
ALGERIA,Dinar argelino,DZD
ANDORRA,Euro,EUR
ANGOLA,Kwanza,AOA
ANGUILA,Dólar del Caribe Oriental,XCD
ANTIGUA Y BARBUDA,Dólar del Caribe Oriental,XCD
ANTÁRTIDA,Sin moneda universal,
ARABIA SAUDITA,Riyal saudí,SAR
ARGENTINA,Peso Argentino,ARS
ARMENIA,Dram armenio,AMD
ARUBA,Florín arubeño,AWG
AUSTRALIA,Dólar australiano,AUD
AUSTRIA,Euro,EUR
AZERBAIYÁN,Manat azerbaiyano,AZN
BAHAMAS (LAS),Dólar de las Bahamas,BSD
BAHRAIN,Dinar de Bahrein,BHD
BANGLADESH,Taka,BDT
BARBADOS,Dólar de Barbados,BBD
BELICE,Dólar de Belice,BZD
BENIN,Franco CFA BCEAO,XOF
BERMUDA,Dólar de Bermudas,BMD
BIELORRUSIA,Rublo bielorruso,BYR
BOLIVIA (ESTADO PLURINACIONAL DE),Boliviano,BOB
BOLIVIA (ESTADO PLURINACIONAL DE),Mvdol,BOV
BONAIRE SAN EUSTAQUIO Y SABA,Dólar Americano,USD
BOSNIA Y HERZEGOVINA,Marco bosnioherzegovino,BAM
BOTSWANA,Pula,BWP
BRASIL,Real Brasileño,BRL
BRUNEI DARUSSALAM,Dólar de Brunei,BND
BULGARIA,Lev búlgaro,BGN
BURKINA FASO,Franco CFA BCEAO,XOF
BURUNDI,Franco Burundi,BIF
BUTÁN,Ngultrum,BTN
BUTÁN,Rupia india,INR
BÉLGICA,Euro,EUR
CABO VERDE,Cabo Verde Escudo,CVE
CAMBOYA,Riel,KHR
CAMERÚN,Franco CFA BEAC,XAF
CANADÁ,Dólar canadiense,CAD
CHAD,Franco CFA BEAC,XAF
CHILE,Unidad de Fomento,CLF
CHILE,Peso chileno,CLP
CHINA,Yuan,CNY
CHIPRE,Euro,EUR
COLOMBIA,Peso ColombianO,COP
COLOMBIA,Unidad de Valor Real,COU
COMOROS,Franco Comoro,KMF
CONGO,Franco CFA BEAC,XAF
CONGO (LA REPÚBLICA DEMOCRÁTICA DEL),Franco congoleño,CDF
COREA (LA REPÚBLICA DE),Won,KRW
COREA (LA REPÚBLICA DEMOCRÁTICA POPULAR),Won norcoreano,KPW
COSTA DE MARFIL,Franco CFA BCEAO,XOF
COSTA RICA,Colón costarricense,CRC
CROAcIA,Kuna,HRK
CUBA,Peso Convertible,CUC
CUBA,Peso Cubano,CUP
CURAZAO,Florín antillano neerlandés,ANG
DINAMARCA,Corona danesa,DKK
DJIBOUTI,Franco de Djibouti,DJF
DOMINICA,Dólar del Caribe Oriental,XCD
ECUADOR,DÓlar americano,USD
EGIPTO,Libra egipcia,EGP
EL SALVADOR,Colón,SVC
EL SALVADOR,Dólar americano,USD
EMIRATOS ÁRABES UNIDOS,Dírham de los Emiratos Árabes Unidos,AED
ERITREA,Nakfa,ERN
ESLOVAQUIA,Euro,EUR
ESLOVENIA,Euro,EUR
ESPAÑA,Euro,EUR
ESTADOS UNIDOS DE AMÉRICA,Dólar Americano,USD
ESTADOS UNIDOS DE AMÉRICA,Dólar Americano (Next day),USN
ESTADOS UNIDOS E ISLAS MENORES,Dólar Americano,USD
ESTONIA,Euro,EUR
ETIOPÍA,Birr etíope,ETB
FIJI,Dólar de Fiji,FJD
FILIPINAS (LAS),Peso filipino,PHP
FINLANDIA,Euro,EUR
FONDO MONETARIO INTERNACIONAL (IMF) ,SDR (Derechos Especiales de Giro),XDR
FRANCIA,Euro,EUR
GABÓN,Franco CFA BEAC,XAF
GAMBIA,Dalasi,GMD
GEORGIA,Lari,GEL
GHANA,Cedi de Ghana,GHS
GIBRALTAR,Libra de Gibraltar,GIP
GRANADA,Dólar del Caribe Oriental,XCD
GRECIA,Euro,EUR
GROENLANDIA,Corona danesa,DKK
GUADALUPE,Euro,EUR
GUAM,Dólar americano,USD
GUATEMALA,Quetzal,GTQ
GUAYANA FRANCESA,Euro,EUR
GUERNESEY,Libra esterlina,GBP
GUINEA,Franco guineano,GNF
GUINEA ECUATORIAL,Franco CFA BEAC,XAF
GUINEA-BISSAU,Franco CFA BCEAO,XOF
GUYANA,Dólar guyanés,GYD
HAITÍ,Gourde,HTG
HAITÓ,Dólar americano,USD
HONDURAS,Lempira,HNL
HONG KONG,Dolar de Hong Kong,HKD
HUNGRÍA,Florín,HUF
INDIA,Rupia india,INR
INDONESIA,Rupia,IDR
IRAQ,Dinar iraquí,IQD
IRLANDA,Euro,EUR
IRÁN (REPÚBLICA ISLÁMICA DE),Rial iraní,IRR
ISLA BOUVET,Corona noruega,NOK
ISLA DE MAN,Libra esterlina,GBP
ISLA DE NAVIDAD,Dólar australiano,AUD
ISLA HEARD E ISLAS McDONALD,Dólar australiano,AUD
ISLA NORFOLK,Dólar australiano,AUD
ISLANDIA,Corona islandesa,ISK
ISLAS ALAND,Euro,EUR
ISLAS CAIMÁN,Dólar de las Islas Caimán,KYD
ISLAS COCO,Dólar australiano,AUD
ISLAS COOK,Dólar neozelandés,NZD
ISLAS FEROE,Corona danesa,DKK
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR,Sin moneda universal,
ISLAS MALVINAS,Libra malvinense,FKP
ISLAS MARIANAS DEL NORTE,Dólar Americano,USD
ISLAS MARSHALL,Dólar americano,USD
ISLAS SALOMÓN,Dólar de las Islas Salomón,SBD
ISLAS VIRGENES (EE.UU.),Dólar Americano,USD
ISLAS VÍRGENES (BRITÁNICA),Dólar Americano,USD
ISRAEL,Nuevo Shekel Israelí,ILS
ITALIA,Euro,EUR
JAMAICA,Dólar jamaiquino,JMD
JAPÓN,Yen,JPY
JERSEY,Libra esterlina,GBP
JORDANIA,Dinar jordano,JOD
KAZAJSTÁN,Tenge,KZT
KENIA,Chelín keniano,KES
KIRGUISTÁN,Som,KGS
KIRIBATI,Dólar australiano,AUD
KUWAIT,Dinar kuwaití,KWD
LAO REPÚBLICA DEMOCRÁTICA POPULAR,Kip,LAK
LESOTHO,Loti,LSL
LESOTHO,Rand,ZAR
LETONIA,Euro,EUR
LIBERIA,Dólar liberiano,LRD
LIBIA,Dinar libio,LYD
LIECHTENSTEIN,Franco suizo,CHF
LITUANIA,Euro,EUR
LUXEMBOURG,Euro,EUR
LÍBANO,Libra libanesa,LBP
MACAO,Pataca,MOP
MACEDONIA (Ex República Yugoslava),Denar,MKD
MADAGASCAR,Ariary malgache,MGA
MALASIA,Ringgit malayo,MYR
MALAWI,Kwacha,MWK
MALDIVAS,Rufiyaa,MVR
MALTA,Euro,EUR
MALÍ,Franco CFA BCEAO,XOF
MARRUECOS,Dirham marroquí,MAD
MARTINICA,Euro,EUR
MAURICIO,Rupia de Mauricio,MUR
MAURITANIA,Ouguiya,MRO
MAYOTTE,Euro,EUR
MICRONESIA (ESTADOS FEDERADOS DE),Dólar americano,USD
MOLDAVIA,Leu moldavo,MDL
MONGOLIA,Tugrik,MNT
MONTENEGRO,Euro,EUR
MONTSERRAT,Dólar del Caribe Oriental,XCD
MOZAMBIQUE,Metical mozambiqueño,MZN
MYANMAR,Kyat,MMK
MÉXICO,Peso MexicanO,MXN
MÉXICO,Unidad de Inversion Mexicana (UDI),MXV
MÓNACO,Euro,EUR
NAMIBIA,Dólar de Namibia,NAD
NAMIBIA,Rand,ZAR
NAURU,Dólar australiano,AUD
NEPAL,Rupia nepalí,NPR
NICARAGUA,Cordoba Oro,NIO
NIGER,Franco CFA BCEAO,XOF
NIGERIA,Naira,NGN
NIUE,Dólar neozelandés,NZD
NORUEGA,Corona noruega,NOK
NUEVA CALEDONIA,Franco CFP,XPF
NUEVA ZELANDA,Dólar neozelandés,NZD
OMÁN,Rial omaní,OMR
PAKISTÁN,Rupia pakistaní,PKR
PALAU,Dólar Americano,USD
"PALESTINA, ESTADO DE",Sin moneda universal,
PANAMÁ,Balboa,PAB
PANAMÁ,Dólar Americano,USD
PAPUA NUEVA GUINEA,Kina,PGK
PARAGUAY,Guaraní,PYG
PAÍSES BAJOS,Euro,EUR
PAÍSES MIEMBROS DEL GRUPO BANCO AFRICANO DEL DESARROLLO,Unidad de cuenta del BAD,XUA
PERú,Nuevo Sol,PEN
PITCAIRN,Dólar neozelandés,NZD
POLINESIA FRANCESA,CFP Franc,XPF
POLONIA,Zloty,PLN
PORTUGAL,Euro,EUR
PUERTO RICO,Dólar Americano,USD
QATAR,Riyal catarí,QAR
REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,Libra esterlina,GBP
REPÚBLICA ,Franco CFA BEAC,XAF
CENTROAFRICANA,,
REPÚBLICA CHECA,Corona checa,CZK
REPÚBLICA DOMINICANA,Peso Dominicano,DOP
REPÚBLICA ÁRABE SIRIA,Libra Siria,SYP
RUANDA,Franco ruandés,RWF
RUMANIA,Leu rumano,RON
RUSIA,Rublo ruso,RUB
RÉUNION,Euro,EUR
SAHARA OCCIDENTAL,Dirham marroquí,MAD
SAMOA,Tala,WST
SAMOA AMERICANA,Dólar Americano,USD
SAN BARTOLOMÉ,Euro,EUR
SAN CRISTÓBAL Y NIEVES,Dólar del Caribe Oriental,XCD
SAN MARINO,Euro,EUR
SAN MARTIN (PARTE FRANCESA),Euro,EUR
SAN PEDRO Y MIQUELÓN,Euro,EUR
SAN VICENTE Y LAS GRANADINAS,Dólar del Caribe Oriental,XCD
"SANTA ELENA, ASCENSIÓN Y TRISTÁN DE ACUÑA",Libra de Santa Helena,SHP
SANTA LUCÍA,Dólar del Caribe Oriental,XCD
SANTA SEDE,Euro,EUR
SANTO TOMÉ Y PRÍNCIPE,Dobra,STD
SENEGAL,Franco CFA BCEAO,XOF
SERBIA,Dinar serbio,RSD
SEYCHELLES,Rupia seychelense,SCR
SIERRA LEONA,Leone,SLL
SINGAPUR,Dolar de Singapur,SGD
SINT MAARTEN (PARTE HOLANDESA),Florín antillano neerlandés,ANG
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU
SOMALIA,Chelín somalí,SOS
SRI LANKA,Rupia de Sri Lanka,LKR
SUDÁFRICA,Rand,ZAR
SUDÁN,Libra sudanesa,SDG
SUDÁN DEL SUR,Libra sursudanesa,SSP
SUECIA,Corona sueca,SEK
SUIZA,Euro WIR,CHE
SUIZA,Franco suizo,CHF
SUIZA,Franco WIR,CHW
SURINAME,Dólar surinamés,SRD
SVALBARD AND JAN MAYEN,Corona noruega,NOK
SWAZILANDIA,Lilangeni,SZL
TAILANDIA,Baht,THB
TAIWÁN (PROVINCIA DE CHINA),Nuevo dólar taiwanés,TWD
"TANZANIA, ",Chelín tanzano,TZS
REPÚBLICA UNIDA DE,,
TAYIKISTÁN,Somoni,TJS
TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,Dólar Americano,USD
TERRITORIOS AUSTRALES FRANCESES,Euro,EUR
TIMOR ORIENTAL,Dólar Americano,USD
TOGO,Franco CFA BCEAO,XOF
TOKELAU,Dólar neozelandés,NZD
TONGA,Pa’anga,TOP
TRINIDAD Y TOBAGO,Dólar trinitense,TTD
TURCOS Y CAICOS,Dólar Americano,USD
TURKMENISTÁN,Manat turcomano,TMT
TURQUÍA,Lira turca,TRY
TUVALU,Dólar australiano,AUD
TÚNEZ,Dinar tunecino,TND
UCRANIA,Hryvnia,UAH
UGANDA,Chelín ugandés,UGX
UNIÓN EUROPEA,Euro,EUR
URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI
URUGUAY,Peso Uruguayo,UYU
UZBEKISTÁN,Som uzbeko,UZS
VANUATU,Vatu,VUV
VENEZUELA (REPÚBLICA BOLIVARIANA DE),Bolívar,VEF
VIETNAM,Dong,VND
WALLIS Y FUTUNA,Franco CFP,XPF
YEMEN,Rial yemení,YER
ZAMBIA,Kwacha zambiano,ZMW
ZIMBABWE,Dólar zimbabuense,ZWL
